Designator,Mid X,Mid Y,Layer,Rotation
C1,101.0000mm,-148.0000mm,Top,90
C2,110.8200mm,-150.8425mm,Top,90
C3,110.5700mm,-154.4625mm,Top,90
C4,114.0000mm,-151.0000mm,Top,90
C5,123.6000mm,-151.0000mm,Top,90
C6,122.0000mm,-155.0000mm,Top,90
C7,112.0000mm,-128.3700mm,Top,90
C8,120.0000mm,-128.5900mm,Top,90
C9,123.0000mm,-128.3700mm,Top,90
C10,124.0000mm,-141.0000mm,Top,90
C11,135.5500mm,-141.0000mm,Top,90
C12,126.0000mm,-151.3800mm,Top,90
C13,134.0000mm,-151.3800mm,Top,90
C14,137.4500mm,-141.0000mm,Top,90
C15,140.0000mm,-141.0000mm,Top,90
C16,159.9750mm,-119.4400mm,Top,90
C17,160.0000mm,-123.0600mm,Top,90
C18,150.1200mm,-150.0600mm,Top,90
D1,101.7800mm,-142.0000mm,Top,90
D2,105.7200mm,-142.0000mm,Top,90
D3,139.0000mm,-129.0000mm,Top,0
D4,127.0000mm,-132.0000mm,Top,0
D5,131.0000mm,-132.0000mm,Top,0
D6,135.0000mm,-132.0000mm,Top,0
J1,102.6000mm,-130.0000mm,Top,-90
J2,157.0000mm,-152.0000mm,Top,90
J3,151.0000mm,-133.0000mm,Top,90
J4,156.0000mm,-121.0000mm,Top,0
J5,130.0000mm,-156.5000mm,Top,0
R1,139.0000mm,-132.0000mm,Top,0
R2,109.0400mm,-128.3700mm,Top,90
R3,115.0000mm,-128.3700mm,Top,90
R4,127.0000mm,-129.0000mm,Top,0
R5,131.0000mm,-129.0000mm,Top,0
R6,135.0000mm,-129.0000mm,Top,0
R7,117.0000mm,-139.8775mm,Top,90
R8,120.0000mm,-140.0000mm,Top,90
R9,150.0000mm,-143.0000mm,Top,90
R10,152.5000mm,-143.0000mm,Top,90
R11,155.0000mm,-143.0000mm,Top,90
R12,157.5000mm,-143.0000mm,Top,90
R13,150.0000mm,-146.4400mm,Top,90
R14,152.5000mm,-146.5000mm,Top,90
R15,157.0000mm,-103.5000mm,Top,90
R16,110.0000mm,-137.0000mm,Top,0
R17,114.0000mm,-137.0000mm,Top,0
SW1,102.2000mm,-106.5000mm,Top,90
SW2,102.2000mm,-117.5000mm,Top,90
U1,130.0000mm,-113.0000mm,Top,0
U2,130.0000mm,-138.0000mm,Top,0
U3,130.0000mm,-149.0000mm,Top,0
U4,140.0000mm,-137.0000mm,Top,0
U5,155.5000mm,-112.0000mm,Top,0
U6,105.0000mm,-154.0000mm,Top,0
U7,118.0000mm,-155.0000mm,Top,0
U8,112.0000mm,-133.0000mm,Top,0
